date,ACC_value
1,0.4805714
2,0.484538281
3,0.505491501
4,0.512478392
5,0.524495385
6,0.547732671
7,0.562766809
8,0.565483614
9,0.558991366
10,0.561414711
11,0.55578393
12,0.53081511
13,0.542716897
14,0.531498897
15,0.537242591
16,0.527306763
17,0.531229509
18,0.505450806
19,0.493722115
20,0.50573395
21,0.502825707
22,0.50632775
23,0.479469776
24,0.468874807
25,0.47943424
26,0.463562133
27,0.470438976
28,0.462707543
29,0.460911242
30,0.43781954
31,0.435088405
32,0.45042976
33,0.461903392
34,0.463697401
35,0.451533104
36,0.43503682
37,0.430964477
38,0.438309597
39,0.430752979
40,0.446614195
41,0.450362699
42,0.42938082
43,0.419375639
44,0.413003755
45,0.402529151
46,0.413528775
47,0.41809576
48,0.43515088
49,0.42814966
50,0.40469973
51,0.420773017
52,0.452821007
53,0.479347692
54,0.501376744
55,0.515609023
56,0.474170285
57,0.455400826
58,0.467568562
59,0.47926057
60,0.49303317
61,0.502414747
62,0.505097163
63,0.486945577
64,0.524562445
65,0.550508513
66,0.582481991
67,0.592895267
68,0.587740214
69,0.59783309
70,0.607628492
71,0.60992918
72,0.586741759
73,0.604835456
74,0.602621889
75,0.600652492
76,0.573530862
77,0.541228959
78,0.544011106
79,0.547945889
80,0.520306116
81,0.518008295
82,0.507547447
83,0.480292842
84,0.471715989
85,0.429231797
86,0.451607042
87,0.443877329
88,0.432682828
89,0.440833245
90,0.442443841
91,0.443769
92,0.433823428
93,0.415878182
94,0.39955786
95,0.395378335
96,0.395579516
97,0.354313875
98,0.33991939
99,0.383454768
100,0.394432612
101,0.393196293
102,0.385284886
103,0.37319854
104,0.386757349
105,0.401703219
106,0.4056231
107,0.397210173
108,0.400886458
109,0.423233618
110,0.41489119
111,0.386189342
112,0.390429049
113,0.383437573
114,0.412959048
115,0.428564632
116,0.39993271
117,0.402948709
118,0.369374951
119,0.346318212
120,0.375643665
121,0.379314219
122,0.370472564
123,0.379793385
124,0.382049939
125,0.388005131
126,0.411851692
127,0.412064337
128,0.417551826
129,0.423630822
130,0.413634811
131,0.422169822
132,0.422054043
133,0.450827537
134,0.449579182
135,0.446544842
136,0.44655172
137,0.455769945
138,0.455244352
139,0.424020001
140,0.421707851
141,0.423419897
142,0.418688413
143,0.431053891
144,0.47519052
145,0.500920504
146,0.509893414
147,0.494921178
148,0.502055372
149,0.5314903
150,0.558027874
151,0.560500511
152,0.578814303
153,0.597315521
154,0.604715091
155,0.638782917
156,0.638574858
157,0.627170579
158,0.609598463
159,0.624145983
160,0.61442108
161,0.618042914
162,0.606746963
163,0.600204276
164,0.5949472
165,0.587362498
166,0.59949699
167,0.559826468
168,0.547838707
169,0.543025834
170,0.56817692
171,0.571914534
172,0.571081151
173,0.565866489
174,0.556374291
175,0.540641464
176,0.552447532
177,0.550741791
178,0.557991765
179,0.548592993
180,0.528183133
181,0.517654652
182,0.498513781
183,0.498988362
184,0.498186504
185,0.517088937
186,0.533444222
187,0.511132025
188,0.500059036
189,0.523218372
190,0.526302003
191,0.548610761
192,0.558411322
193,0.588167222
194,0.598037137
195,0.617918537
196,0.614075461
197,0.57575761
198,0.577293695
199,0.597492629
200,0.628365056
201,0.654814363
202,0.612761192
203,0.621675639
204,0.596401895
205,0.574804436
206,0.541443896
207,0.543649438
208,0.566609312
209,0.530286652
210,0.523908463
211,0.511792885
212,0.53779283
213,0.533036128
214,0.523469418
215,0.536742218
216,0.54338005
217,0.555262923
218,0.548879002
219,0.54240051
220,0.523776635
221,0.535837762
222,0.532312219
223,0.530341102
224,0.536419525
225,0.551369981
226,0.528323559
227,0.542822933
228,0.549940505
229,0.535049086
230,0.55236557
231,0.564964326
232,0.566605873
233,0.53504622
234,0.534451847
235,0.571704182
236,0.569966344
237,0.557024261
238,0.573982516
239,0.572810965
240,0.612005186
241,0.622141622
242,0.629284414
243,0.632929748
244,0.666390019
245,0.683292677
246,0.679897816
247,0.71154459
248,0.701294667
249,0.713350062
250,0.709477181
251,0.733519765
252,0.742705319
253,0.731560111
254,0.741685658
255,0.739177484
256,0.722803858
257,0.697447005
258,0.716299573
259,0.742200934
260,0.736262363
261,0.707406906
262,0.726620569
263,0.728480492
264,0.686161371
265,0.650505303
266,0.626855911
267,0.59754708
268,0.587170487
269,0.592162761
270,0.586156557
271,0.593424872
272,0.538240473
273,0.527985391
274,0.535358595
275,0.534096484
276,0.531020877
277,0.539596583
278,0.546358219
279,0.571085736
280,0.574389464
281,0.553292379
282,0.559964601
283,0.567157832
284,0.558210141
285,0.543590975
286,0.550376111
287,0.556728507
288,0.569664859
289,0.571552293
290,0.597955747
291,0.610278811
292,0.599363442
293,0.61746287
294,0.602838546
295,0.602202332
296,0.589585234
297,0.568992535
298,0.593149752
299,0.607160216
300,0.593814051
301,0.575336334
302,0.58641792
303,0.584192891
304,0.562446409
305,0.573552642
306,0.536338709
307,0.52862619
308,0.54285675
309,0.552554141
310,0.537754428
311,0.528416412
312,0.56205551
313,0.586498737
314,0.537572162
315,0.550565256
316,0.577606643
317,0.585304832
318,0.600106265
319,0.588379867
320,0.578081798
321,0.557960241
322,0.581151673
323,0.603550418
324,0.611603397
325,0.623227198
326,0.616227125
327,0.660544301
328,0.701306703
329,0.737032125
330,0.722819334
331,0.735793514
332,0.722082816
333,0.722436459
334,0.72780301
335,0.739429677
336,0.703623439
337,0.70445281
338,0.685664437
339,0.673700175
340,0.652072911
341,0.61846763
342,0.606513112
343,0.57840277
344,0.59322541
345,0.590395118
346,0.566089451
347,0.542301352
348,0.519947315
349,0.528990151
350,0.524850174
351,0.49493952
352,0.480369646
353,0.469368303
354,0.458808297
355,0.432792303
356,0.428805362
357,0.450593112
358,0.444515835
359,0.460591989
360,0.446301247
361,0.463714596
362,0.473774228
363,0.494231087
364,0.50511837
365,0.473176416
366,0.477813327
367,0.443284102
368,0.461531407
369,0.424368486
370,0.40895262
371,0.403408387
372,0.38901161
373,0.36495527
374,0.35247172
375,0.306256219
376,0.286469964
377,0.29333477
378,0.289194221
379,0.271710372
380,0.268872629
381,0.268379706
382,0.285859542
383,0.291780345
384,0.277785356
385,0.230290549
386,0.215277619
387,0.200441223
388,0.206862399
389,0.221299871
390,0.240692361
391,0.249712844
392,0.242247933
393,0.252399272
394,0.248284515
395,0.249064593
396,0.278964358
397,0.303315879
398,0.318257163
